NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
528;École doctorale Ville, transports et territoires;VTT;2016;2015-16;2015;33;30;9;1;1;19;3;0;0;2;0;1;0;0;68zCc
555;École doctorale Sciences de l'Homme et de la Société;SHS;2016;2015-16;2015;43;40;36;0;1;3;3;2;0;0;1;0;0;0;44G6m
558;École doctorale Histoire, Mémoire, Patrimoine, Langage;HMPL;2016;2015-16;2015;66;57;52;0;0;5;9;5;1;0;3;0;0;0;uX3jT
38;École doctorale Langages, espaces, temps, sociétés;;2015;2014-15;2014;67;56;44;0;1;11;11;4;1;1;4;1;0;0;pGgDX
130;École doctorale Informatique, télécommunications et électronique de Paris;EDITE;2015;2014-15;2014;205;99;75;24;0;0;106;15;5;45;37;4;0;0;O5ysj
166;École doctorale Information, structures et systèmes;I2S;2015;2014-15;2014;93;64;28;10;0;26;29;7;1;6;10;4;1;0;2uO68
254;École doctorale Sciences de la matière;;2015;2014-15;2014;97;68;52;16;0;0;29;3;1;14;9;2;0;0;365F2
300;École doctorale Sciences Économiques;ED SE;2015;2014-15;2014;11;9;8;1;0;0;2;0;0;1;1;0;0;0;5x3fM
402;École doctorale Sciences de la vie et de la santé;SVS;2015;2014-15;2014;36;29;16;0;0;13;7;1;0;3;2;1;0;0;YKgsU
406;École doctorale Chimie moléculaire de Paris centre;;2015;2014-15;2014;32;26;23;3;0;0;6;2;0;3;1;0;0;0;a5dKy
433;École doctorale Concepts et langages;;2015;2014-15;2014;95;77;75;0;0;2;18;9;1;3;1;4;0;0;v8q34
486;École doctorale Sciences économiques et de gestion;SEG;2015;2014-15;2014;45;39;35;0;1;3;6;1;0;1;4;0;0;0;h1GZ3
497;École doctorale Normande de Biologie Intégrative, Santé, Environnement;Ed NBISE;2015;2014-15;2014;89;82;78;2;0;2;7;1;0;1;2;2;1;0;0D9Je
520;École doctorale Humanités;;2015;2014-15;2014;71;62;62;0;0;0;9;4;0;1;3;1;0;0;rI175
7;École doctorale Georges Vedel - Droit public interne, science administrative et science politique;;2014;2013-14;2013;37;35;30;0;0;5;2;1;0;0;1;0;0;0;Dw881
242;École doctorale Économie - Gestion - Normandie;;2014;2013-14;2013;15;11;8;0;0;3;4;1;0;2;1;0;0;0;z35ku
249;École doctorale Droit comparé;;2014;2013-14;2013;27;24;24;0;0;0;3;2;0;0;0;1;0;0;yu36C
285;École doctorale Sciences pratiques;;2014;2013-14;2013;72;63;55;7;0;1;9;3;0;5;0;1;0;0;Jd3t2
341;École doctorale Évolution, écosystèmes, microbiologie, modélisation;E2M2;2014;2013-14;2013;44;38;36;2;0;0;6;4;1;1;0;0;0;0;J83I0
373;École doctorale Santé, information/communications et mathématiques, matière;SICMA;2014;2013-14;2013;124;91;78;11;0;2;33;5;0;14;10;4;0;0;hTJF5
389;École doctorale La physique, de la particule à la matière condensée;;2014;2013-14;2013;35;28;28;0;0;0;7;3;0;2;0;2;0;0;2ydfg
487;École doctorale Philosophie;PHCR;2014;2013-14;2013;31;22;18;0;0;4;9;3;0;4;0;2;0;0;3BRzJ
507;École doctorale Sciences humaines et sociales;;2014;2013-14;2013;95;74;59;0;0;15;21;2;0;5;11;3;0;0;3e7VM
514;École doctorale Études anglophones, germanophones et européennes;EDEAGE;2014;2013-14;2013;28;25;24;0;0;1;3;2;0;0;1;0;0;0;fuIQs
34;École doctorale Matériaux;;2013;2012-13;2012;78;51;27;22;0;2;27;8;2;7;5;5;0;0;1Iufh
109;École doctorale Sciences de la terre;;2013;2012-13;2012;36;27;23;4;0;0;9;4;1;3;0;1;0;0;BQNt6
173;École doctorale Sciences de l'univers, de l'environnement et de l'espace;SDU2E;2013;2012-13;2012;77;61;55;5;0;1;16;3;1;6;5;1;0;0;R0Z9c
260;École doctorale pluridisciplinaire;;2013;2012-13;2012;124;124;104;3;0;17;0;0;0;0;0;0;0;0;sCk1f
263;École doctorale Sciences juridiques, économiques et de gestion;;2013;2012-13;2012;55;47;44;0;0;3;8;2;0;3;2;1;0;0;1nUr6
432;École doctorale Sciences des métiers de l'ingénieur;SMI;2013;2012-13;2012;139;109;62;38;0;9;30;7;1;6;10;6;0;0;nSsHB
454;École doctorale Sciences de l'homme, du politique et du territoire;SHPT;2013;2012-13;2012;77;66;27;0;0;39;11;3;1;2;3;2;0;0;Opv31
483;École doctorale Histoire, géographie, aménagement, urbanisme, archéologie, science politique, sociologie, anthropologie;SCSO;2013;2012-13;2012;126;108;99;0;0;9;18;6;1;7;2;2;0;0;hc6u4
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;2012;2011-12;2011;75;50;44;5;0;1;25;2;2;9;6;6;0;0;TCHTA
127;École doctorale Astronomie et astrophysique d'Ile de France;A&A;2012;2011-12;2011;44;37;34;3;0;0;7;5;0;1;0;1;0;0;cPXrq
262;École doctorale Sciences juridiques, politiques, économiques et de gestion;DEG;2012;2011-12;2011;59;54;51;0;0;3;5;1;0;1;2;1;0;0;H7GyL
286;École doctorale de l'Ehess;;2012;2011-12;2011;317;241;228;3;0;10;76;31;1;17;3;22;2;0;2S146
382;École doctorale Économie, espaces, sociétés, civilisations : pensée critique, politique et pratique sociale;EESC;2012;2011-12;2011;53;42;40;0;0;2;11;0;0;2;3;6;0;0;9NI1W
