NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
67;École doctorale Sciences juridiques et politiques;;2025;2024-25;2024;46;42;39;1;0;2;4;0;0;1;3;0;0;0;qrOj1
178;École doctorale Sciences fondamentales;;2025;2024-25;2024;41;35;31;4;0;0;6;3;0;1;0;2;0;0;1AiR7
211;École doctorale Sciences exactes et leurs applications;ED SEA;2025;2024-25;2024;47;34;26;8;0;0;13;2;3;1;4;3;0;0;1G1iC
432;École doctorale Sciences des métiers de l'ingénieur;SMI;2025;2024-25;2024;135;100;52;47;0;1;35;9;2;8;14;2;0;0;nSsHB
472;École doctorale de l'EPHE;;2025;2024-25;2024;111;75;72;2;0;1;36;18;5;10;2;1;0;0;27zK4
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;2025;2024-25;2024;89;72;45;27;0;0;17;7;2;2;1;5;0;0;dfhyn
591;École doctorale Physique, Sciences de l'Ingenieur, Materiaux, Énergie;PSIME;2025;2024-25;2024;83;57;39;18;0;0;26;2;0;8;13;3;0;0;Hn5Om
124;École doctorale Histoire de l'art et archéologie;;2024;2023-24;2023;21;19;18;0;0;1;2;1;1;0;0;0;0;0;MBN4L
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;2024;2023-24;2023;53;46;41;5;0;0;7;2;1;2;1;1;0;0;69W38
265;École doctorale Langues, littératures et sociétés du monde;;2024;2023-24;2023;49;31;30;0;0;1;18;5;3;6;3;1;0;0;4YWGW
354;École doctorale Langues, lettres et arts;LLA;2024;2023-24;2023;41;31;31;0;0;0;10;5;0;2;2;1;0;0;RwcSv
355;École doctorale Espaces, cultures, sociétés;;2024;2023-24;2023;46;42;39;0;0;3;4;2;0;2;0;0;0;0;2kMf5
566;École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain;SMMH;2024;2023-24;2023;33;27;24;2;0;1;6;1;1;0;3;0;1;0;3iv8y
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;2024;2023-24;2023;60;55;53;1;0;1;5;2;0;0;2;1;0;0;N85H3
600;École doctorale Écologie, Géosciences, Agronomie et Alimentation;EGAAL;2024;2023-24;2023;46;42;32;9;0;1;4;0;0;3;1;0;0;0;urS33
634;École doctorale Sciences, Ingénierie, Environnement;SIE;2024;2023-24;2023;34;25;15;9;0;1;9;1;1;3;4;0;0;0;TOc8f
37;École doctorale Sciences physiques pour l'ingénieur et microtechniques;SPIM;2023;2022-23;2022;90;58;39;19;0;0;32;3;3;13;10;3;0;0;F7G1B
571;École doctorale Sciences Chimiques : Molécules, Matériaux, Instrumentation et Biosystemes;2MIB;2020;2019-20;2019;86;70;54;16;0;0;16;1;2;12;1;0;0;0;zbi37
589;École doctorale Milieu insulaire tropical à risques : protection, valorisation , santé et développement;;2020;2019-20;2019;29;24;22;2;0;0;5;1;0;0;1;3;0;0;2cqi3
560;École doctorale Sciences de la terre et de l'environnement et Physique de l'univers, Paris;STEP'UP;2018;2017-18;2017;53;38;33;4;0;1;15;10;0;5;0;0;0;0;Z2VI9
579;École doctorale Sciences mécaniques et energétiques, matériaux et géosciences;SMEMaG;2018;2017-18;2017;85;67;45;21;0;1;18;5;2;6;2;3;0;0;atMj7
22;École doctorale Mondes anciens et médiévaux;;2017;2016-17;2016;39;20;20;0;0;0;19;17;0;1;1;0;0;0;fqCbl
105;École doctorale Terre, univers, environnement;;2017;2016-17;2016;44;34;30;4;0;0;10;6;1;0;0;3;0;0;lcWAf
119;École doctorale Science politique;;2017;2016-17;2016;17;16;15;0;0;1;1;0;0;1;0;0;0;0;eyibb
178;École doctorale Sciences fondamentales;;2017;2016-17;2016;40;34;33;1;0;0;6;0;0;3;1;2;0;0;1AiR7
209;École doctorale Sciences physiques et de L'ingénieur;SPI;2017;2016-17;2016;102;74;49;25;0;0;28;8;2;9;2;7;0;0;tZcIZ
218;École doctorale Chimie et sciences du vivant;EDCSV;2017;2016-17;2016;71;57;45;11;0;1;14;7;1;2;2;1;1;0;8bcJh
231;École doctorale Économie et gestion;EDEG;2017;2016-17;2016;42;34;30;1;0;3;8;4;0;2;0;0;2;0;KT720
251;École doctorale Sciences de l'environnement;;2017;2016-17;2016;49;38;36;1;0;1;11;4;2;3;0;2;0;0;VR28y
261;École doctorale Cognition, comportements, conduites humaines;3CH;2017;2016-17;2016;38;37;32;1;0;4;1;1;0;0;0;0;0;0;KOLCy
388;École doctorale Chimie physique et chimie analytique de Paris centre;CPCA;2017;2016-17;2016;58;45;38;7;0;0;13;5;0;3;1;4;0;0;M0Hnd
502;École doctorale Biologie - Santé;;2017;2016-17;2016;98;87;85;0;0;2;11;3;0;3;2;3;0;0;JCFV7
521;École doctorale Sciences et ingénierie pour l'information, mathématiques;S2I;2017;2016-17;2016;59;49;40;9;0;0;10;0;0;6;3;1;0;0;V6i83
570;École doctorale Santé Publique;EDSP;2017;2016-17;2016;39;38;26;3;0;9;1;0;0;0;1;0;0;0;9lgE4
39;École doctorale Mathématiques et Informatique;EDMIB;2016;2015-16;2015;49;41;32;9;0;0;8;3;1;1;3;0;0;0;TBj2X
70;École doctorale Sciences pour l'ingénieur;EDSPI;2016;2015-16;2015;52;35;27;8;0;0;17;2;0;5;10;0;0;0;G413P
323;École doctorale Génie électrique, électronique et télécommunications;GEET;2016;2015-16;2015;73;61;36;25;0;0;12;5;1;3;0;3;0;0;arcz6
480;École doctorale Montaigne-humanités;;2016;2015-16;2015;126;100;86;9;0;5;26;10;0;3;11;2;0;0;f3SeZ
485;École doctorale Éducation, Psychologie, Information et Communication;EPIC;2016;2015-16;2015;58;49;49;0;0;0;9;3;1;2;2;1;0;0;O82eL
7;École doctorale Georges Vedel - Droit public interne, science administrative et science politique;;2015;2014-15;2014;42;38;32;0;0;6;4;2;0;0;1;1;0;0;Dw881
50;École doctorale Langues, littératures et sciences humaines;LLSH;2015;2014-15;2014;42;33;32;0;0;1;9;3;1;0;3;1;1;0;8THzQ
71;École doctorale Sciences pour l'ingénieur;;2015;2014-15;2014;70;44;26;18;0;0;26;2;1;9;8;6;0;0;H6UYp
508;École doctorale Normande de chimie;EDNC;2015;2014-15;2014;34;28;23;5;0;0;6;2;2;2;0;0;0;0;E52OO
516;École doctorale Biochimie, biothérapies, biologie moléculaire, infectiologie;B3MI;2015;2014-15;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;aQTO2
543;École doctorale de Dauphine;;2015;2014-15;2014;79;64;59;2;0;3;15;6;0;2;4;3;0;0;u8w6A
8;École doctorale Histoire du droit, philosophie du droit et sociologie du droit;;2013;2012-13;2012;12;11;10;0;0;1;1;0;0;0;0;1;0;0;pGSed
231;École doctorale Économie et gestion;EDEG;2013;2012-13;2012;44;36;27;4;0;5;8;4;0;0;3;1;0;0;KT720
286;École doctorale de l'Ehess;;2013;2012-13;2012;304;214;185;0;0;29;90;43;6;10;7;24;0;0;2S146
351;École doctorale Sciences physiques, mathématiques et de l'information pour l'ingénieur;SPMII;2013;2012-13;2012;86;61;50;11;0;0;25;2;3;10;9;1;0;0;rY4EP
388;École doctorale Chimie physique et chimie analytique de Paris centre;CPCA;2013;2012-13;2012;58;47;42;0;0;5;11;2;0;7;2;0;0;0;M0Hnd
406;École doctorale Chimie moléculaire de Paris centre;;2013;2012-13;2012;29;26;25;1;0;0;3;0;1;1;0;1;0;0;a5dKy
50;École doctorale Langues, littératures et sciences humaines;LLSH;2012;2011-12;2011;52;38;30;0;0;8;14;9;0;1;4;0;0;0;8THzQ
78;École doctorale Sociétés, langages, temps, connaissances;STLC;2012;2011-12;2011;68;57;51;0;0;6;11;5;0;2;1;3;0;0;vLU3i
287;École doctorale Sciences pour l'ingénieur;;2012;2011-12;2011;36;18;15;3;0;0;18;3;1;10;4;0;0;0;48Q1j
469;École doctorale du Pacifique;EDP;2012;2011-12;2011;25;23;18;0;0;5;2;0;0;1;0;1;0;0;t9Z2n
531;École doctorale Sciences, ingénierie et environnement;SIE;2012;2011-12;2011;81;59;32;18;0;9;22;5;0;9;4;4;0;0;b5BYq
533;École doctorale Sciences du management : Gestion, organisation, décision, information;GODI;2012;2011-12;2011;24;22;20;0;0;2;2;0;0;0;2;0;0;0;ld7FG
540;"École doctorale École transdisciplinaire ""lettres/sciences""";;2012;2011-12;2011;10;3;3;0;0;0;7;2;0;3;0;2;0;0;tWWw7
474;École doctorale Interdisciplinaire européenne frontières du vivant;FDV;2011;2010-11;2010;26;23;18;5;0;0;3;2;1;0;0;0;0;0;E727j
480;École doctorale Montaigne-humanités;;2023;2022-23;2022;89;75;73;0;0;2;14;5;0;3;5;1;0;0;f3SeZ
519;École doctorale Sciences humaines et sociales - Perspectives européennes;SHS-PE;2023;2022-23;2022;61;55;54;1;0;0;6;3;1;1;1;0;0;0;2f5qs
556;École doctorale Homme, Sociétés, Risques, Territoire;HSRT;2023;2022-23;2022;57;50;29;0;0;21;7;2;2;0;3;0;0;0;5QEaX
601;École doctorale Mathématiques et Sciences et Technologies de l'information et de la Communication;MathSTIC;2023;2022-23;2022;125;107;72;35;0;0;18;7;0;4;6;1;0;0;3Ue20
604;École doctorale Sociétés, Temps, Territoires;STT;2023;2022-23;2022;35;29;28;1;0;0;6;2;1;0;3;0;0;0;SZI5T
610;École doctorale Sciences et Ingénierie des Systèmes, Mathématiques, Informatique;SISMI;2023;2022-23;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dBCUB
627;École doctorale Éducation, Didactiques, Cognition;EDC;2023;2022-23;2022;12;11;11;0;0;0;1;0;0;0;0;1;0;0;dE3nH
631;École doctorale Mathématiques, sciences du numérique et de leurs interactions;MADIS;2023;2022-23;2022;66;53;44;9;0;0;13;0;2;6;1;4;0;0;OImap
641;École doctorale Mathématiques et Sciences et Technologies du numérique, de l’Information et de la Communication;MaSTIC;2023;2022-23;2022;60;45;31;14;0;0;15;1;0;7;6;1;0;0;4kq8w
645;École doctorale Espaces, Sociétés, Civilisations;ESC;2023;2022-23;2022;40;35;33;1;0;1;5;0;0;1;3;1;0;0;3wapo
7;École doctorale Georges Vedel - Droit public interne, science administrative et science politique;;2022;2021-22;2021;20;15;13;0;0;2;5;2;2;1;0;0;0;0;Dw881
47;École doctorale Physique;;2022;2021-22;2021;124;92;66;25;0;1;32;20;4;8;0;0;0;0;8kNpd
79;École doctorale Sciences juridiques, politiques, économiques et de gestion;SJPEG;2022;2021-22;2021;37;35;32;0;1;2;2;0;1;1;0;0;0;0;ea4x6
101;École doctorale de Sciences juridiques;;2022;2021-22;2021;33;31;30;0;0;1;2;1;0;0;1;0;0;0;569G2
141;École doctorale Droit et science politique;DSP;2022;2021-22;2021;34;28;25;0;0;3;6;2;0;0;1;3;0;0;CyNBf
159;École doctorale Esthétique, sciences et technologies des arts;EDESTA;2022;2021-22;2021;41;36;36;0;0;0;5;2;0;1;0;2;0;0;zj1Vj
222;École doctorale Sciences chimiques;EDSC;2022;2021-22;2021;90;63;53;10;0;0;27;7;4;12;1;3;0;0;AdU8Q
364;École doctorale Sciences fondamentales et appliquées;EDSFA;2022;2021-22;2021;97;66;45;21;0;0;31;8;4;11;3;5;0;0;E483q
386;École doctorale Sciences mathématiques de Paris centre;SMPC;2022;2021-22;2021;129;112;91;20;0;1;17;8;0;5;2;2;0;0;wMj98
513;École doctorale Droit et sciences politiques, économiques et de gestion;DESPEG;2022;2021-22;2021;36;29;29;0;0;0;7;3;0;2;2;0;0;0;aVHGU
560;École doctorale Sciences de la terre et de l'environnement et Physique de l'univers, Paris;STEP'UP;2022;2021-22;2021;61;44;36;8;0;0;17;4;2;9;0;2;0;0;Z2VI9
562;École doctorale Bio Sorbonne Paris Cité;BioSPC;2022;2021-22;2021;160;126;116;10;0;0;34;12;2;19;0;1;0;0;4Yju6
566;École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain;SMMH;2022;2021-22;2021;31;26;23;0;0;3;5;0;0;1;2;2;0;0;3iv8y
569;École doctorale Innovation thérapeutique : du fondamental à l'appliqué;;2022;2021-22;2021;90;82;64;12;0;6;8;3;0;4;1;0;0;0;jx8ET
582;École doctorale Cancérologie, Biologie, Médecine, Santé;CBMS;2022;2021-22;2021;59;41;36;4;0;1;18;8;2;7;0;1;0;0;75bj4
600;École doctorale Écologie, Géosciences, Agronomie et Alimentation;EGAAL;2022;2021-22;2021;80;68;48;19;0;1;12;2;0;3;2;5;0;0;urS33
605;École doctorale Biologie Santé;ED BS;2022;2021-22;2021;142;127;114;6;0;7;15;4;1;6;3;1;0;0;w8CxU
630;École doctorale Droit, Economie et Management;DEM;2022;2021-22;2021;45;41;35;1;3;2;4;1;1;2;0;0;0;0;78n8c
633;École doctorale Cultures, Sociétés, Territoires;CST;2022;2021-22;2021;24;14;14;0;0;0;10;6;1;1;0;2;0;0;54818
37;École doctorale Sciences physiques pour l'ingénieur et microtechniques;SPIM;2021;2020-21;2020;95;64;41;21;0;2;31;9;2;10;7;3;0;0;F7G1B
47;École doctorale Physique;;2021;2020-21;2020;97;67;49;18;0;0;30;16;7;3;2;2;0;0;8kNpd
71;École doctorale Sciences pour l'ingénieur;;2021;2020-21;2020;58;40;20;20;0;0;18;4;0;5;7;2;0;0;H6UYp
120;École doctorale Littérature française et comparée;;2021;2020-21;2020;37;27;27;0;0;0;10;0;1;5;1;3;0;0;3ULpe
122;École doctorale Europe latine - Amérique latine;;2021;2020-21;2020;20;15;14;0;0;1;5;4;0;0;0;1;0;0;z9lZY
512;École doctorale Informatique et mathématiques;InfoMaths;2021;2020-21;2020;78;63;49;14;0;0;15;1;1;4;7;2;0;0;t86bi
559;École doctorale Management Panthéon-Sorbonne;;2021;2020-21;2020;48;35;35;0;0;0;13;3;2;5;2;1;0;0;4SP7k
563;École doctorale Médicament - Toxicologie - Chimie - Imageries;MTCI;2021;2020-21;2020;57;52;48;4;0;0;5;1;1;1;2;0;0;0;j8uk1
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;2021;2020-21;2020;78;65;36;28;0;1;13;5;2;6;0;0;0;0;dfhyn
612;École doctorale Humanités;;2021;2020-21;2020;54;50;46;0;0;4;4;3;0;0;1;0;0;0;v30I8
622;École doctorale Sciences du langage;SDL;2021;2020-21;2020;45;39;39;0;0;0;6;3;1;1;0;1;0;0;9DsG2
22;École doctorale Mondes anciens et médiévaux;;2020;2019-20;2019;42;29;29;0;0;0;13;9;2;1;0;1;0;0;fqCbl
31;École doctorale Pratiques et théories du sens;;2020;2019-20;2019;84;53;51;0;0;2;31;13;1;0;3;14;0;0;1S466
40;École doctorale Sciences chimiques;EDSC;2020;2019-20;2019;72;53;34;18;0;1;19;6;1;7;1;3;1;0;wde3D
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;2020;2019-20;2019;96;60;39;21;0;0;36;8;3;12;8;5;0;0;TCHTA
279;École doctorale Arts plastiques, esthétique et sciences de l'art;APESA;2020;2019-20;2019;25;22;22;0;0;0;3;1;0;1;1;0;0;0;BpW1j
305;École doctorale Énergie et environnement;E2;2020;2019-20;2019;34;26;20;6;0;0;8;2;0;1;5;0;0;0;Kbt8I
398;École doctorale Géosciences, ressources naturelles et environnement;GRNE;2020;2019-20;2019;35;25;23;2;0;0;10;1;0;6;1;2;0;0;Zi4Zf
458;École doctorale Sciences écologiques, vétérinaires, agronomiques et bioingénieries;SEVAB;2020;2019-20;2019;54;37;30;7;0;0;17;4;0;10;1;2;0;0;Yf3TI
483;École doctorale Histoire, géographie, aménagement, urbanisme, archéologie, science politique, sociologie, anthropologie;SCSO;2020;2019-20;2019;80;71;66;2;0;3;9;1;1;5;1;1;0;0;hc6u4
543;École doctorale de Dauphine;;2020;2019-20;2019;87;74;48;13;1;12;13;7;1;3;1;1;0;0;u8w6A
549;École doctorale Santé, Sciences Biologiques et Chimie du Vivant;SSBCV;2020;2019-20;2019;78;67;55;9;0;3;11;4;0;3;4;0;0;0;B9ggO
556;École doctorale Homme, Sociétés, Risques, Territoire;HSRT;2020;2019-20;2019;55;49;43;0;0;6;6;1;0;2;3;0;0;0;5QEaX
561;École doctorale Hématologie, Oncogenèse et Biothérapies;HOB;2020;2019-20;2019;57;47;43;4;0;0;10;4;1;3;0;2;0;0;7Klb2
566;École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain;SMMH;2020;2019-20;2019;32;27;25;0;0;2;5;2;1;0;1;1;0;0;3iv8y
601;École doctorale Mathématiques et Sciences et Technologies de l'information et de la Communication;MathSTIC;2020;2019-20;2019;247;189;125;60;0;4;58;7;1;26;18;6;0;0;3Ue20
619;École doctorale Sciences Fondamentales et Santé;SFS;2020;2019-20;2019;24;23;20;3;0;0;1;0;1;0;0;0;0;0;JiZVW
78;École doctorale Sociétés, langages, temps, connaissances;STLC;2019;2018-19;2018;55;50;46;0;0;4;5;3;0;1;0;1;0;0;vLU3i
113;École doctorale Histoire;;2019;2018-19;2018;53;45;38;0;0;7;8;3;1;0;2;2;0;0;G5wHs
119;École doctorale Science politique;;2019;2018-19;2018;12;12;12;0;0;0;0;0;0;0;0;0;0;0;eyibb
158;École doctorale Cerveau, cognition, comportement;3C;2019;2018-19;2018;104;83;80;3;0;0;21;15;1;1;1;3;0;0;Il62F
166;École doctorale Information, structures et systèmes;I2S;2019;2018-19;2018;116;80;64;14;0;2;36;10;4;7;11;4;0;0;2uO68
211;École doctorale Sciences exactes et leurs applications;ED SEA;2019;2018-19;2018;83;52;38;13;0;1;31;10;2;8;3;8;0;0;1G1iC
286;École doctorale de l'Ehess;;2019;2018-19;2018;235;171;167;0;0;4;64;30;2;11;6;15;0;0;2S146
327;École doctorale Temps, espaces, sociétés, cultures;TESC;2019;2018-19;2018;64;60;52;0;0;8;4;1;0;0;1;2;0;0;IjgiJ
467;École doctorale Aéronautique, astronautique;AA;2019;2018-19;2018;23;17;11;6;0;0;6;1;0;1;3;1;0;0;U7l45
492;École doctorale Droit;;2019;2018-19;2018;57;49;49;0;0;0;8;0;0;3;4;1;0;0;kOQsX
537;École doctorale Culture et patrimoine;C&P;2019;2018-19;2018;12;12;9;0;0;3;0;0;0;0;0;0;0;0;GxI4a
548;École doctorale Mer et Sciences;;2019;2018-19;2018;22;15;10;4;0;1;7;0;1;0;3;3;0;0;QX0fS
556;École doctorale Homme, Sociétés, Risques, Territoire;HSRT;2019;2018-19;2018;48;42;40;0;1;1;6;0;0;0;5;1;0;0;5QEaX
561;École doctorale Hématologie, Oncogenèse et Biothérapies;HOB;2019;2018-19;2018;48;44;42;2;0;0;4;2;0;1;0;1;0;0;7Klb2
568;École doctorale Signalisations et Réseaux Intégratifs en Biologie;BIOSIGNE;2019;2018-19;2018;22;19;17;0;0;2;3;2;0;1;0;0;0;0;CGttG
571;École doctorale Sciences Chimiques : Molécules, Matériaux, Instrumentation et Biosystemes;2MIB;2019;2018-19;2018;95;64;47;17;0;0;31;7;1;20;1;2;0;0;zbi37
242;École doctorale Économie - Gestion - Normandie;;2018;2017-18;2017;15;15;13;0;1;1;0;0;0;0;0;0;0;0;z35ku
359;École doctorale Mathématiques, télécommunications, informatique, signal, systèmes, électronique;MATISSE;2018;2017-18;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Y0r76
484;École doctorale Lettres, langues, linguistique, arts;3LA;2018;2017-18;2017;95;76;72;0;0;4;19;5;0;3;8;3;0;0;BlCQD
565;École doctorale Droit de la Sorbonne;DS;2018;2017-18;2017;124;101;95;0;0;6;23;6;1;5;8;3;0;0;aXJ7L
85;École doctorale Sciences de la vie et de la santé;SVS;2017;2016-17;2016;65;36;35;1;0;0;29;23;0;3;1;2;0;0;YdiMF
112;École doctorale Archéologie;;2017;2016-17;2016;31;26;26;0;0;0;5;2;0;2;0;1;0;0;EvU7R
138;École doctorale Lettres, langues, spectacles;LLS;2017;2016-17;2016;47;36;35;0;0;1;11;5;0;2;1;2;1;0;y9O3k
146;École doctorale Galilée;GALILEE;2017;2016-17;2016;58;40;38;2;0;0;18;6;1;5;6;0;0;0;71hqm
217;École doctorale Mathématiques, sciences et technologies de l'information, informatique;MSTII;2017;2016-17;2016;90;70;45;24;0;1;20;2;0;7;7;4;0;0;Ehx7v
268;École doctorale Langage et langues : description, théorisation, transmission;;2017;2016-17;2016;45;38;34;1;0;3;7;4;0;2;1;0;0;0;wAIDE
323;École doctorale Génie électrique, électronique et télécommunications;GEET;2017;2016-17;2016;54;45;26;19;0;0;9;0;0;2;4;3;0;0;arcz6
356;École doctorale Cognition, langage, éducation;;2017;2016-17;2016;75;71;68;0;0;3;4;3;0;0;1;0;0;0;55Cpz
465;École doctorale Économie Panthéon Sorbonne;EPS;2017;2016-17;2016;70;61;59;2;0;0;9;7;0;1;0;1;0;0;MV68S
547;École doctorale Sciences, Technologie, Santé;EDSTS;2017;2016-17;2016;63;54;44;10;0;0;9;2;0;3;4;0;0;0;wEdn2
554;École doctorale Environnements - Santé;E-S;2017;2016-17;2016;98;87;86;1;0;0;11;3;1;2;4;1;0;0;ElyFU
386;École doctorale Sciences mathématiques de Paris centre;SMPC;2016;2015-16;2015;139;102;89;13;0;0;37;15;3;9;5;5;0;0;wMj98
398;École doctorale Géosciences, ressources naturelles et environnement;GRNE;2016;2015-16;2015;42;38;28;10;0;0;4;2;0;1;0;1;0;0;Zi4Zf
458;École doctorale Sciences écologiques, vétérinaires, agronomiques et bioingénieries;SEVAB;2016;2015-16;2015;55;44;34;9;0;1;11;3;0;6;2;0;0;0;Yf3TI
469;École doctorale du Pacifique;EDP;2016;2015-16;2015;12;11;11;0;0;0;1;1;0;0;0;0;0;0;t9Z2n
508;École doctorale Normande de chimie;EDNC;2016;2015-16;2015;40;33;28;5;0;0;7;1;0;3;1;2;0;0;E52OO
527;École doctorale Cognition, comportement, langage(s);CCL;2016;2015-16;2015;26;21;17;1;1;2;5;0;0;1;3;1;0;0;MvpY8
538;École doctorale Culture, régulation, institutions et territoire;CRIT;2016;2015-16;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8T505
546;École doctorale Abbé Grégoire;;2016;2015-16;2015;59;53;37;0;0;16;6;2;0;0;3;1;0;0;ZSn7q
547;École doctorale Sciences, Technologie, Santé;EDSTS;2016;2015-16;2015;62;48;38;5;2;3;14;0;0;8;5;1;0;0;wEdn2
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;2016;2015-16;2015;78;62;46;15;0;1;16;7;1;5;1;2;0;0;dfhyn
41;École doctorale Droit;;2015;2014-15;2014;55;51;51;0;0;0;4;1;0;1;1;1;0;0;KnOQK
242;École doctorale Économie - Gestion - Normandie;;2015;2014-15;2014;22;17;15;1;0;1;5;0;0;2;3;0;0;0;z35ku
245;École doctorale Sciences économiques, juridiques, politiques et de gestion;;2015;2014-15;2014;46;44;41;0;0;3;2;0;0;0;1;1;0;0;ShLUg
353;École doctorale Sciences pour l'ingénieur : mécanique, physique, micro et nanoélectronique;;2015;2014-15;2014;52;43;28;14;0;1;9;2;1;1;3;2;0;0;vk5Kp
370;École doctorale Lettres, sciences humaines et sociales;LSHS;2015;2014-15;2014;38;31;30;0;0;1;7;0;0;2;4;1;0;0;xAXXx
382;École doctorale Économie, espaces, sociétés, civilisations : pensée critique, politique et pratique sociale;EESC;2015;2014-15;2014;78;67;65;0;0;2;11;1;0;4;2;4;0;0;9NI1W
393;École doctorale Pierre Louis de Santé Publique : Épidémiologie et Sciences de l'information biomédicale;PLSP;2015;2014-15;2014;42;38;38;0;0;0;4;4;0;0;0;0;0;0;69445
398;École doctorale Géosciences, ressources naturelles et environnement;GRNE;2015;2014-15;2014;32;23;21;2;0;0;9;8;0;0;1;0;0;0;Zi4Zf
422;École doctorale Sciences et technologies de l'information, des télécommunications et des systèmes;;2015;2014-15;2014;97;73;58;15;0;0;24;7;3;8;4;1;1;0;998UM
487;École doctorale Philosophie;PHCR;2015;2014-15;2014;24;22;20;0;0;2;2;0;0;1;1;0;0;0;3BRzJ
493;École doctorale Erasme;;2015;2014-15;2014;70;59;51;0;1;7;11;4;0;1;3;3;0;0;FPW4T
101;École doctorale de Sciences juridiques;;2014;2013-14;2013;51;44;43;1;0;0;7;5;0;0;2;0;0;0;569G2
122;École doctorale Europe latine - Amérique latine;;2014;2013-14;2013;35;29;22;0;0;7;6;0;0;0;0;6;0;0;z9lZY
124;École doctorale Histoire de l'art et archéologie;;2014;2013-14;2013;46;39;36;0;0;3;7;7;0;0;0;0;0;0;MBN4L
139;École doctorale Connaissance, langage, modélisation;CLM;2014;2013-14;2013;74;64;56;1;0;7;10;4;0;3;0;3;0;0;1lxGH
188;École doctorale Histoire moderne et contemporaine;;2014;2013-14;2013;33;30;24;0;0;6;3;2;1;0;0;0;0;0;RSZ7F
240;École doctorale Sciences de l'homme et de la société;SHS;2014;2013-14;2013;85;73;67;1;0;5;12;6;1;1;3;1;0;0;j345k
396;École doctorale Économie, organisations, société;EOS;2014;2013-14;2013;62;50;36;9;0;5;12;4;1;3;1;3;0;0;Es5e7
406;École doctorale Chimie moléculaire de Paris centre;;2014;2013-14;2013;26;19;11;8;0;0;7;2;0;4;0;1;0;0;a5dKy
521;École doctorale Sciences et ingénierie pour l'information, mathématiques;S2I;2014;2013-14;2013;70;52;41;10;0;1;18;1;1;6;7;3;0;0;V6i83
536;École doctorale Sciences et agrosciences;;2014;2013-14;2013;38;21;15;6;0;0;17;3;0;3;6;5;0;0;pHfqe
556;École doctorale Homme, Sociétés, Risques, Territoire;HSRT;2014;2013-14;2013;64;61;56;0;0;5;3;1;0;2;0;0;0;0;5QEaX
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;2013;2012-13;2012;66;51;45;4;0;2;15;5;2;5;2;1;0;0;69W38
306;École doctorale Sciences des procédés, sciences des aliments;;2013;2012-13;2012;36;23;16;7;0;0;13;3;0;3;4;3;0;0;adF7W
354;École doctorale Langues, lettres et arts;LLA;2013;2012-13;2012;44;37;20;0;0;17;7;2;1;3;0;0;1;0;RwcSv
372;École doctorale Sciences économiques et de gestion;;2013;2012-13;2012;55;44;37;0;0;7;11;0;0;5;3;3;0;0;JK63A
389;École doctorale La physique, de la particule à la matière condensée;;2013;2012-13;2012;37;30;27;3;0;0;7;2;1;0;1;3;0;0;2ydfg
478;École doctorale Sciences de Gestion;;2013;2012-13;2012;12;12;9;0;0;3;0;0;0;0;0;0;0;0;q34kB
552;École doctorale Énergie - Matériaux - Sciences de la Terre et de l'Univers;EMTSU;2013;2012-13;2012;76;60;51;7;0;2;16;6;2;5;1;2;0;0;NTZhw
47;École doctorale Physique;;2012;2011-12;2011;98;69;57;11;0;1;29;16;5;7;1;0;0;0;8kNpd
156;École doctorale Sciences de la mer;;2012;2011-12;2011;46;41;36;4;0;1;5;2;0;0;2;1;0;0;EGY9P
173;École doctorale Sciences de l'univers, de l'environnement et de l'espace;SDU2E;2012;2011-12;2011;80;58;52;4;0;2;22;3;3;11;2;3;0;0;R0Z9c
217;École doctorale Mathématiques, sciences et technologies de l'information, informatique;MSTII;2012;2011-12;2011;97;62;43;19;0;0;35;8;2;8;6;10;1;0;Ehx7v
275;École doctorale Sciences de gestion;EDSG;2012;2011-12;2011;26;14;9;0;0;5;12;0;0;9;2;1;0;0;6QC4I
281;École doctorale Droit public et droit fiscal;;2012;2011-12;2011;45;34;30;0;0;4;11;1;0;2;7;1;0;0;jr1Nt
