geo_unit,year,inbound_total,outbound_mobility_ratio,inbound_mobility_rate,outbound_total
AGO,2022,NA,NA,NA,10807
AIA,2022,NA,NA,NA,123
AIA,2023,NA,NA,NA,117
ATG,2022,NA,NA,NA,626
ATG,2023,NA,NA,NA,640
BDI,2022,NA,NA,NA,3709
BEN,2023,NA,NA,NA,11144
BHS,2022,NA,NA,NA,3881
BHS,2023,NA,NA,NA,3996
BMU,2022,NA,NA,NA,1039
BOL,2022,NA,NA,NA,24142
BOL,2023,NA,NA,NA,21077
BRB,2022,NA,NA,NA,1182
BRB,2023,NA,NA,NA,1183
BRN,2022,NA,NA,NA,2056
CAF,2022,NA,NA,NA,2667
CAF,2023,NA,NA,NA,2723
COD,2022,NA,NA,NA,18664
COD,2023,NA,NA,NA,20127
COG,2022,NA,NA,NA,13961
COK,2022,NA,NA,NA,223
COL,2023,NA,NA,NA,63132
COM,2022,NA,NA,NA,5874
COM,2023,NA,NA,NA,5905
CPV,2022,NA,NA,NA,6293
CPV,2023,NA,NA,NA,7675
CRI,2022,NA,NA,NA,4579
CRI,2023,NA,NA,NA,4589
CUB,2022,NA,NA,NA,4301
CUW,2022,NA,NA,NA,142
CUW,2023,NA,NA,NA,105
CYM,2022,NA,NA,NA,595
CYM,2023,NA,NA,NA,704
DJI,2022,NA,NA,NA,4430
DJI,2023,NA,NA,NA,4419
DMA,2022,NA,NA,NA,1227
DMA,2023,NA,NA,NA,1210
ERI,2022,NA,NA,NA,1553
ERI,2023,NA,NA,NA,1561
ETH,2022,NA,NA,NA,10476
ETH,2023,NA,NA,NA,11148
FJI,2022,NA,NA,NA,1397
FJI,2023,NA,NA,NA,2564
FSM,2022,NA,NA,NA,119
FSM,2023,NA,NA,NA,94
GAB,2022,NA,NA,NA,15106
GAB,2023,NA,NA,NA,16671
GIB,2022,NA,NA,NA,1000
GIB,2023,NA,NA,NA,955
GMB,2022,NA,NA,NA,2522
GMB,2023,NA,NA,NA,2802
GNB,2022,NA,NA,NA,9197
GNB,2023,NA,NA,NA,10267
GNQ,2022,NA,NA,NA,1643
GNQ,2023,NA,NA,NA,1716
GRD,2022,NA,NA,NA,433
GRD,2023,NA,NA,NA,453
GTM,2022,NA,NA,NA,3895
GUY,2022,NA,NA,NA,1467
GUY,2023,NA,NA,NA,1339
HND,2022,NA,NA,NA,6763
HND,2023,NA,NA,NA,7302
HTI,2022,NA,NA,NA,11618
HTI,2023,NA,NA,NA,11427
IRL,2023,NA,NA,NA,16573
IRN,2023,NA,NA,NA,99161
IRQ,2022,NA,NA,NA,44203
IRQ,2023,NA,NA,NA,44061
JAM,2022,NA,NA,NA,5218
JAM,2023,NA,NA,NA,5655
KAZ,2022,NA,NA,NA,78224
KAZ,2023,NA,NA,NA,75396
KEN,2022,NA,NA,NA,19111
KEN,2023,NA,NA,NA,23211
KIR,2022,NA,NA,NA,1002
KIR,2023,NA,NA,NA,1001
KNA,2022,NA,NA,NA,490
KNA,2023,NA,NA,NA,496
KWT,2022,NA,NA,NA,22690
KWT,2023,NA,NA,NA,21972
LAO,2022,NA,NA,NA,7909
LBR,2022,NA,NA,NA,1863
LBR,2023,NA,NA,NA,2085
LBY,2022,NA,NA,NA,8142
LBY,2023,NA,NA,NA,7898
LIE,2022,NA,NA,NA,1212
LIE,2023,NA,NA,NA,1186
LSO,2022,NA,NA,NA,2513
LSO,2023,NA,NA,NA,2661
MDV,2022,NA,NA,NA,2773
MDV,2023,NA,NA,NA,2972
MHL,2023,NA,NA,NA,184
MLI,2022,NA,NA,NA,10580
MLI,2023,NA,NA,NA,10362
MMR,2022,NA,NA,NA,13079
MMR,2023,NA,NA,NA,16360
MOZ,2022,NA,NA,NA,4732
MOZ,2023,NA,NA,NA,5594
MRT,2022,NA,NA,NA,6588
MRT,2023,NA,NA,NA,7828
MSR,2022,NA,NA,NA,38
MSR,2023,NA,NA,NA,39
MWI,2022,NA,NA,NA,3054
MWI,2023,NA,NA,NA,3027
NAM,2023,NA,NA,NA,4057
NER,2022,NA,NA,NA,7996
NER,2023,NA,NA,NA,8754
NGA,2022,NA,NA,NA,112498
NGA,2023,NA,NA,NA,146286
NIC,2022,NA,NA,NA,4029
NIU,2022,NA,NA,NA,47
NIU,2023,NA,NA,NA,60
NLD,2022,NA,NA,NA,18310
NRU,2022,NA,NA,NA,135
NRU,2023,NA,NA,NA,133
OMN,2022,NA,NA,NA,16564
PER,2022,NA,NA,NA,41602
PER,2023,NA,NA,NA,42068
PLW,2022,NA,NA,NA,61
PLW,2023,NA,NA,NA,49
PNG,2022,NA,NA,NA,1254
PNG,2023,NA,NA,NA,1499
PRI,2022,NA,NA,NA,637
PRK,2022,NA,NA,NA,914
PRK,2023,NA,NA,NA,899
PRY,2022,NA,NA,NA,17219
PRY,2023,NA,NA,NA,14663
SAU,2023,NA,NA,NA,42366
SDN,2022,NA,NA,NA,15873
SDN,2023,NA,NA,NA,17828
SLB,2022,NA,NA,NA,3120
SLB,2023,NA,NA,NA,3155
SLE,2022,NA,NA,NA,1720
SLE,2023,NA,NA,NA,1757
SOM,2022,NA,NA,NA,16167
SOM,2023,NA,NA,NA,16504
SSD,2022,NA,NA,NA,2473
SSD,2023,NA,NA,NA,2663
STP,2022,NA,NA,NA,1339
STP,2023,NA,NA,NA,1577
SUR,2023,NA,NA,NA,1059
SWZ,2022,NA,NA,NA,2047
SWZ,2023,NA,NA,NA,3005
SYR,2022,NA,NA,NA,103916
SYR,2023,NA,NA,NA,105160
TCA,2023,NA,NA,NA,169
TCD,2022,NA,NA,NA,19762
TCD,2023,NA,NA,NA,19488
TGO,2022,NA,NA,NA,8117
TGO,2023,NA,NA,NA,8897
TJK,2022,NA,NA,NA,32470
TJK,2023,NA,NA,NA,32202
TKL,2022,NA,NA,NA,69
TKL,2023,NA,NA,NA,73
TLS,2022,NA,NA,NA,2561
TON,2022,NA,NA,NA,1111
TUV,2022,NA,NA,NA,389
TUV,2023,NA,NA,NA,399
UGA,2022,NA,NA,NA,6709
UGA,2023,NA,NA,NA,7108
UKR,2022,NA,NA,NA,76766
VCT,2022,NA,NA,NA,732
VCT,2023,NA,NA,NA,733
VEN,2022,NA,NA,NA,34195
VEN,2023,NA,NA,NA,31971
VUT,2022,NA,NA,NA,1750
VUT,2023,NA,NA,NA,1755
YEM,2022,NA,NA,NA,36170
YEM,2023,NA,NA,NA,37557
ZMB,2022,NA,NA,NA,5132
ZMB,2023,NA,NA,NA,5318
ZWE,2022,NA,NA,NA,22271
ZWE,2023,NA,NA,NA,24392
