indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,ARG,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ATG,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ATG,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ATG,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ATG,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUS,2021,Source,Data sources,UIS Education Survey
